commit_id,commit_date,content,author,type
39132c3e372e8b804d65d4eaac49721db6f806c8,Wed Apr 05 00:00:00 EDT 2006,Merging from 391857 on branch. Fixes infinite recursion when expressions self-reference as part of a larger value. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@391858 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
3866e00bbfeaa9704c6c2b7882faa4507bc35678,Wed Apr 05 00:00:00 EDT 2006,Fixing infinite recursion when an expression self-references but the reference is only part of the value. Throws a ModelInterpolationException when this happens now. Including test. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391857 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
f810fd2ef23de9182ce9e4551ec8ed33ad5234df,Wed Apr 05 00:00:00 EDT 2006,Merging from 2.0.x branch  revIds:  - 391163:391165  - 391167 - 391176 - 391202 - 391326 - 391328:391329 - 391398 - 391402 - 391404 These are the changes for the 2.0.4 RC's. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@391687 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
78cc5c79528ab2eaf1c1faffc1b12fa3426afb54,Tue Apr 04 00:00:00 EDT 2006,Adding note to upgrade the p-c-d version for 2.0.5  to incorporate fixes for MNG-2201. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391404 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
71211bb49726ed79b6af50fc3c8960177ace7e82,Tue Apr 04 00:00:00 EDT 2006,Commenting it0104 out until 2.0.5  to wait for next release of p-c-d  where the fix is. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391402 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
167d435ec3319f15a1503faa86ca2a0e423d364b,Tue Apr 04 00:00:00 EDT 2006,Making this test a little clearer  hopefully. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391398 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
df10b7e556a30a2dcb56df0b3cc98672a353d9a2,Tue Apr 04 00:00:00 EDT 2006,Removed --ignore-existing to allow maven-metadata changes to be copied git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@391385 13f79535-47bb-0310-9956-ffa450edef68 Carlos Sanchez Gonzalez,Carlos Sanchez Gonzalez,commit
c568ba4cfdda2d2721ab91444a48e8417aed5908,Tue Apr 04 00:00:00 EDT 2006,Cleaning up it0098's artifactId. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391329 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
876fa9558d4d0c2355bd0d69305a7541bc63a41a,Tue Apr 04 00:00:00 EDT 2006,Cleaning up it0098 to make the test simpler. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391328 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
8d1638b583f4e370fa9ed4235855e95d0e036de3,Tue Apr 04 00:00:00 EDT 2006,Adding IT for Vincent's regression in the surefire pluginManagement config of ${project.build.directory}. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391326 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
9246f74a4a1cc16e95e4811c32ed5739d3462b41,Mon Apr 03 00:00:00 EDT 2006,Fixing it0065...raw cached project instances were not being substituted for their processed counterparts once the current project had been processed. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391202 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
8e073f899ceb94dad216f8a19b4499c2eea0866e,Mon Apr 03 00:00:00 EDT 2006,Verified that this does work in 2.0.3 (which is correct)  and that it fails in the 2.0.4-SNAPSHOT code prior to my earlier commits for 2196 (also correct). git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391176 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
c2a414dc4143c9a3727867742cbcfe4ba5887564,Mon Apr 03 00:00:00 EDT 2006,Commenting out 0103 until I get it to fail under maven-2.0.3. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391167 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
e0eee22c4fc6e59639045a544111727f5d73d4d2,Mon Apr 03 00:00:00 EDT 2006,[MNG-2196] Adding IT that mocks up Vincent's situation in cargo  with a dislocated parent reference that should still be present in the multimodule build. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391165 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
2cab832909c67d3d2735d8e8bb5e7df04a758229,Mon Apr 03 00:00:00 EDT 2006,[MNG-2196] Unit test to verify that (a) dislocated parent references resolve in a multimodule build containing both projects  and (b) that long lines of inheritance don't cause problems inheriting plugin configurations due to caching of processed project instances. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391164 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
4b49aba39adb8f7055e318ef7db63981d070aca5,Mon Apr 03 00:00:00 EDT 2006,[MNG-2196] Put back raw-project caching  to allow assemblyLineage(..) to use cached project data. Tests to follow... git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391163 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
bc048ca9ccdcd373b60774e7a556f4323013800c,Sat Apr 01 00:00:00 EST 2006,[MNG-1908] rollback the change on trunk since it degrades performance significantly at present git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@390765 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
d9867979e91711a2e5178abb3b9ac46c8211d90f,Thu Mar 30 00:00:00 EST 2006,fix the modello version git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@390311 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
